Species
Chironomus valkanovi
Chironomus vancouveri
Chloromyia formosa
Chlorops oryzae
Chrysogaster hirtella
Chrysogaster metallina
Chrysogaster nigrovittata
Chrysogaster nitida
Chrysogaster nobilis
Chrysogaster parva
Chrysogaster poecilophthalma
Chrysogaster pulchella
Chrysogaster solstitialis
Chrysogaster splendens
Chrysogaster splendida
Chrysogaster splendita
Chrysogaster viduata
Chrysomia albiceps
Chrysomia cholorpyga
Chrysomia putoria
Chrysomya albiceps
Chrysomya bezziana
Chrysomya marginalis
Chrysomya megacephala
Chrysomya phaonis
Chrysomya pinguis
Chrysomya putoria
Chrysomya rufifacies
Chrysomya saffranea
Chrysomya varipes
Chrysomyia albiceps
Chrysomyia chloropygaI
Chrysomyia chloropygaII
Chrysomyia megacephala
Chrysomyia pachymera
Chrysomyia putoriaI
Chrysomyia putoriaII
Chrysomyia rufifacies
Chrysopilus sp.
Chrysops aberrans
Chrysops aestuans
Chrysops caecutiens
Chrysops flavipes
Chrysops frigidus
Chrysops indus
Chrysops ludens
Chrysops mlokosiewiczi
Chrysops pictus
Chrysops relictus
Chrysops shermani
Chrysops suavis
Chrysops vanderwulpi
Chrysops vittatus
Chrysotoxum arcuatum
Chrysotoxum bicinctum
Chrysotoxum cautum
Chrysotoxum continuum
Chrysotoxum derivatum
Chrysotoxum elegans
Chrysotoxum fascilatum
Chrysotoxum festivum
Chrysotoxum intermedium
Chrysotoxum latifasciatum
Chrysotoxum latilimbatum
Chrysotoxum lessonae
Chrysotoxum octomaculatum
Chrysotoxum parmense
Chrysotoxum testaceum
Chrysotoxum ventricosum
Chrysotoxum verralli
Chrysotrypanea sp
Chrysotrypanea trifasciata
Chymomyza aldrichii
Chymomyza amoena
Chymomyza costata
Chymomyza coxata
Chymomyza procnemis
Chymomyza wirthii
Citrogramma circumdatum
Citrogramma sp.B
Citrogramma sp.C
Citrogramma sp.D
Cladochaeta nebulosa
Clinotanypus nervosus
Cnemodon latitarsis
Cnephia dacotensis
Cnephia eremites
Cnephia ornithophilia
Cnephia pallipes
Cnephia pecuarum
Cnetha shutovae
Cochliomyia hominivorax
Cochliomyia macellaria
Cochliomyia macellariaI
Cochliomyia macellariaII
Colobaea americana
Copestylum belinda
Copestylum dispar
Copestylum limbipenne
Copestylum marginatum
Copestylum mexicanum
Copestylum omochroma
Copestylum scutellatum
Copestylum sp.1
Copestylum sp.12
Copestylum sp.13
Copestylum sp.14
Copestylum sp.15
Copestylum tamaulipanum
Cordilura ciliata
Cordilura ontario
Cordilura praensia
Cordilura varipes
Corethra plumicornis
Corethrella brakeleyi
Cosmina testaceipes
Cremifania nigrocellulata
Cricotopus bicinctus
Cricotopus f.l.ex.Gr.Bicinctus
Cricotopus f.l.ex.grtrifaciasp.1
Cricotopus f.l.ex.grtrifaciasp.2
Criorhina asilica
Criorhina berberina
Criorhina caudata
Criorhina coquilletti
Criorhina luna
Criorhina pachymera
Criorhina tricolor
Cryptochironomus defectus
Cryptochironomus obreptans
Cryptochironomus sp.
Culex annulus
Culex apicalis
Culex bitaeniorhynchus
Culex fuscanus
Culex fuscocephala
Culex gelidus
Culex hayashii
Culex neolitoralis
Culex pipiens
Culex pseudovishnui
Culex quinquefasciatus
Culex raptor
Culex sitiens
Culex spicalis
Culex tarsalis
Culex territans
Culex theileri
Culex tritaeniorhrynchus
Culex tritaeniorhynchus
Culicoides variipennis
Culiseta melanura
Culiseta morsitans
Cuterebra emasculator
Cynomya cadaverina
Cynomya mortuorumI
Cynomya mortuorumII
Cynomya mortuorumIII
Cynomyia mortuarum
Cynomyia mortyorum
Cynomyopsis cadaverina
Cynorhinella bella
Dacus ciliatus
Dacus olea
Dasyllis grossa
Dasyllis thoracica
Dasyneura affinis
Dasyrhamphis umbrinus
Dasysyrphus albostriatus
Dasysyrphus amalopis
Dasysyrphus arcuatus
Dasysyrphus lunulatus
Dasysyrphus sp. Amalopis grp
Dasysyrphus sp.A
Dasysyrphus sp.A1
Dasysyrphus sp.B1
Dasysyrphus sp.C1
Dasysyrphus sp.venustusgrp
Dasysyrphus tricinctus
Dasysyrphus venustus
Delphinia picta
