Order,Family,Genus,Species,Name,C-value,Mbp,Method,Metamorphosis
Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,0.18,176.04,FCM,Complete
Diptera,Drosophilidae,Drosophila,miranda,Drosophila miranda,0.18,176.04,FCM,Complete
Diptera,Drosophilidae,Drosophila,neoperkinsi,Drosophila neoperkinsi,0.18,176.04,FCM,Complete
Diptera,Drosophilidae,Drosophila,persimilis,Drosophila persimilis,0.18,176.04,FCM,Complete
Diptera,Drosophilidae,Drosophila,santomea,Drosophila santomea,0.18,176.04,FCM,Complete
Diptera,Sepsidae,Meroplius,sauteri,Meroplius sauteri,0.18,176.04,FCM,Complete
Diptera,Sepsidae,Sepsis,niveipennis,Sepsis niveipennis,0.18,176.04,FCM,Complete
Hemiptera,Aphididae,Eoessigia,longicauda,Eoessigia longicauda,0.18,176.04,FD,Incomplete
Hymenoptera,Braconidae,Cotesia,flavipes,Cotesia flavipes,0.18,176.04,FCM,Complete
Hymenoptera,Formicidae,Dolichoderus,mariae,Dolichoderus mariae,0.18,176.04,FCM,Complete
Hymenoptera,Formicidae,Dorymyrmex,bureni,Dorymyrmex bureni,0.18,176.04,FIA,Complete
Hymenoptera,Formicidae,Paratrechina,longicornis,Paratrechina longicornis,0.18,176.04,FIA,Complete
Hymenoptera,Trichogrammatidae,Trichogramma,platneri,Trichogramma platneri,0.18,176.04,FCM,Complete
Hymenoptera,Vespidae,Vespula,vulgaris,Vespula vulgaris,0.18,176.04,FCM,Complete
Diptera,Drosophilidae,Drosophila,pachea,Drosophila pachea,0.18,176.5,,Complete
Diptera,Drosophilidae,Drosophila,euronotus,Drosophila euronotus,0.18,176.8,,Complete
Diptera,Drosophilidae,Drosophila,santomea,Drosophila santomea,0.18,178.3,,Complete
Diptera,Drosophilidae,Drosophila,yakuba,Drosophila yakuba,0.18,178.9,,Complete
Diptera,Drosophilidae,Drosophila,polymorpha,Drosophila polymorpha,0.18,179.2,,Complete
Diptera,Drosophilidae,Drosophila,buzzatii,Drosophila buzzatii,0.18,179.9,,Complete
Diptera,Drosophilidae,Drosophila,yakuba,Drosophila yakuba,0.18,180.6,,Complete
Diptera,Drosophilidae,Drosophila,arawakana,Drosophila arawakana,0.19,181.1,,Complete
Diptera,Drosophilidae,Drosophila,santomea,Drosophila santomea,0.19,181.9,,Complete
Diptera,Drosophilidae,Drosophila,erecta,Drosophila erecta,0.19,184.2,,Complete
Diptera,Drosophilidae,Drosophila,mediopictoides,Drosophila mediopictoides,0.19,184.3,,Complete
Diptera,Drosophilidae,Drosophila,tripunctata,Drosophila tripunctata,0.19,184.4,,Complete
Diptera,Drosophilidae,Drosophila,tripunctata,Drosophila tripunctata,0.19,184.5,,Complete
Diptera,Drosophilidae,Drosophila,erecta,Drosophila erecta,0.19,184.8,,Complete
Coleoptera,Coccinellidae,Coleomegilla,maculata,Coleomegilla maculata,0.19,185.82,FIA,Complete
Diptera,Drosophilidae,Drosophila,affinis,Drosophila affinis,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,ananassae,Drosophila ananassae,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,ficusphila,Drosophila ficusphila,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,nebulosa,Drosophila nebulosa,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,pallidosa,Drosophila pallidosa,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,pallidosa-like,Drosophila pallidosa-like,0.19,185.82,FCM,Complete
